Date,Month,Year,State,Cured,Deaths,Confirmed,CuredActual,DeathsActual,ConfirmedActual
26-03-2020,Mar,2020,Andaman and Nicobar Islands,0,0,1,0,0,1
27-03-2020,Mar,2020,Andaman and Nicobar Islands,0,0,1,0,0,0
28-03-2020,Mar,2020,Andaman and Nicobar Islands,0,0,6,0,0,5
29-03-2020,Mar,2020,Andaman and Nicobar Islands,0,0,9,0,0,3
30-03-2020,Mar,2020,Andaman and Nicobar Islands,0,0,9,0,0,0
31-03-2020,Mar,2020,Andaman and Nicobar Islands,0,0,10,0,0,1
01-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
02-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
03-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
05-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
06-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
07-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
08-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,10,0,0,0
09-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,11,0,0,1
10-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,11,0,0,0
11-04-2020,Apr,2020,Andaman and Nicobar Islands,0,0,11,0,0,0
12-04-2020,Apr,2020,Andaman and Nicobar Islands,10,0,11,10,0,0
13-04-2020,Apr,2020,Andaman and Nicobar Islands,10,0,11,0,0,0
14-04-2020,Apr,2020,Andaman and Nicobar Islands,10,0,11,0,0,0
15-04-2020,Apr,2020,Andaman and Nicobar Islands,10,0,11,0,0,0
16-04-2020,Apr,2020,Andaman and Nicobar Islands,10,0,11,0,0,0
17-04-2020,Apr,2020,Andaman and Nicobar Islands,10,0,11,0,0,0
18-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,12,1,0,1
19-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,14,0,0,2
20-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,15,0,0,1
21-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,16,0,0,1
22-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,17,0,0,1
23-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,18,0,0,1
24-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,22,0,0,4
25-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,27,0,0,5
26-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,33,0,0,6
27-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,33,0,0,0
28-04-2020,Apr,2020,Andaman and Nicobar Islands,11,0,33,0,0,0
29-04-2020,Apr,2020,Andaman and Nicobar Islands,15,0,33,4,0,0
30-04-2020,Apr,2020,Andaman and Nicobar Islands,15,0,33,0,0,0
01-05-2020,May,2020,Andaman and Nicobar Islands,16,0,33,1,0,0
02-05-2020,May,2020,Andaman and Nicobar Islands,16,0,33,0,0,0
03-05-2020,May,2020,Andaman and Nicobar Islands,17,0,33,1,0,0
04-05-2020,May,2020,Andaman and Nicobar Islands,32,0,33,15,0,0
05-05-2020,May,2020,Andaman and Nicobar Islands,32,0,33,0,0,0
06-05-2020,May,2020,Andaman and Nicobar Islands,32,0,33,0,0,0
07-05-2020,May,2020,Andaman and Nicobar Islands,32,0,33,0,0,0
08-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,1,0,0
09-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
10-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
11-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
12-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
13-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
14-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
15-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
16-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
17-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
18-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
19-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
20-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
21-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
22-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
23-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
24-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
25-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
26-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
27-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
28-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
29-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
30-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
31-05-2020,May,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
01-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
02-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
03-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
04-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
05-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
07-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
08-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
09-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
10-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,33,0,0,0
11-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,34,0,0,1
12-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,38,0,0,4
13-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,38,0,0,0
14-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,38,0,0,0
15-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,38,0,0,0
16-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,41,0,0,3
17-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,44,0,0,3
18-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,44,0,0,0
19-06-2020,Jun,2020,Andaman and Nicobar Islands,33,0,44,0,0,0
20-06-2020,Jun,2020,Andaman and Nicobar Islands,35,0,45,2,0,1
21-06-2020,Jun,2020,Andaman and Nicobar Islands,36,0,47,1,0,2
22-06-2020,Jun,2020,Andaman and Nicobar Islands,37,0,48,1,0,1
23-06-2020,Jun,2020,Andaman and Nicobar Islands,37,0,48,0,0,0
24-06-2020,Jun,2020,Andaman and Nicobar Islands,40,0,50,3,0,2
25-06-2020,Jun,2020,Andaman and Nicobar Islands,43,0,56,3,0,6
26-06-2020,Jun,2020,Andaman and Nicobar Islands,43,0,59,0,0,3
27-06-2020,Jun,2020,Andaman and Nicobar Islands,43,0,72,0,0,13
28-06-2020,Jun,2020,Andaman and Nicobar Islands,43,0,72,0,0,0
29-06-2020,Jun,2020,Andaman and Nicobar Islands,45,0,76,2,0,4
30-06-2020,Jun,2020,Andaman and Nicobar Islands,46,0,90,1,0,14
01-07-2020,Jul,2020,Andaman and Nicobar Islands,50,0,97,4,0,7
02-07-2020,Jul,2020,Andaman and Nicobar Islands,50,0,100,0,0,3
03-07-2020,Jul,2020,Andaman and Nicobar Islands,51,0,109,1,0,9
04-07-2020,Jul,2020,Andaman and Nicobar Islands,54,0,116,3,0,7
05-07-2020,Jul,2020,Andaman and Nicobar Islands,66,0,119,12,0,3
06-07-2020,Jul,2020,Andaman and Nicobar Islands,72,0,125,6,0,6
07-07-2020,Jul,2020,Andaman and Nicobar Islands,74,0,141,2,0,16
08-07-2020,Jul,2020,Andaman and Nicobar Islands,75,0,147,1,0,6
09-07-2020,Jul,2020,Andaman and Nicobar Islands,77,0,149,2,0,2
10-07-2020,Jul,2020,Andaman and Nicobar Islands,83,0,151,6,0,2
11-07-2020,Jul,2020,Andaman and Nicobar Islands,92,0,156,9,0,5
12-07-2020,Jul,2020,Andaman and Nicobar Islands,93,0,163,1,0,7
13-07-2020,Jul,2020,Andaman and Nicobar Islands,93,0,163,0,0,0
14-07-2020,Jul,2020,Andaman and Nicobar Islands,109,0,166,16,0,3
15-07-2020,Jul,2020,Andaman and Nicobar Islands,109,0,166,0,0,0
16-07-2020,Jul,2020,Andaman and Nicobar Islands,130,0,176,21,0,10
17-07-2020,Jul,2020,Andaman and Nicobar Islands,133,0,180,3,0,4
18-07-2020,Jul,2020,Andaman and Nicobar Islands,142,0,194,9,0,14
19-07-2020,Jul,2020,Andaman and Nicobar Islands,145,0,198,3,0,4
20-07-2020,Jul,2020,Andaman and Nicobar Islands,145,0,203,0,0,5
21-07-2020,Jul,2020,Andaman and Nicobar Islands,152,0,207,7,0,4
22-07-2020,Jul,2020,Andaman and Nicobar Islands,159,0,212,7,0,5
23-07-2020,Jul,2020,Andaman and Nicobar Islands,163,0,221,4,0,9
24-07-2020,Jul,2020,Andaman and Nicobar Islands,170,0,240,7,0,19
25-07-2020,Jul,2020,Andaman and Nicobar Islands,174,0,259,4,0,19
26-07-2020,Jul,2020,Andaman and Nicobar Islands,176,0,290,2,0,31
27-07-2020,Jul,2020,Andaman and Nicobar Islands,182,0,324,6,0,34
28-07-2020,Jul,2020,Andaman and Nicobar Islands,192,1,338,10,1,14
29-07-2020,Jul,2020,Andaman and Nicobar Islands,196,1,363,4,0,25
30-07-2020,Jul,2020,Andaman and Nicobar Islands,201,2,428,5,1,65
31-07-2020,Jul,2020,Andaman and Nicobar Islands,201,4,471,0,2,43
01-08-2020,Aug,2020,Andaman and Nicobar Islands,214,5,548,13,1,77
02-08-2020,Aug,2020,Andaman and Nicobar Islands,226,7,636,12,2,88
03-08-2020,Aug,2020,Andaman and Nicobar Islands,242,8,734,16,1,98
04-08-2020,Aug,2020,Andaman and Nicobar Islands,263,10,830,21,2,96
05-08-2020,Aug,2020,Andaman and Nicobar Islands,277,12,928,14,2,98
06-08-2020,Aug,2020,Andaman and Nicobar Islands,326,14,1027,49,2,99
07-08-2020,Aug,2020,Andaman and Nicobar Islands,355,16,1123,29,2,96
08-08-2020,Aug,2020,Andaman and Nicobar Islands,425,19,1222,70,3,99
09-08-2020,Aug,2020,Andaman and Nicobar Islands,500,20,1351,75,1,129
10-08-2020,Aug,2020,Andaman and Nicobar Islands,648,20,1490,148,0,139
